#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 10:03:51 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
56.851	452	56.876	521
56.901	446	56.927	533
56.952	437	56.977	541
57.002	429	57.028	547
57.054	418	57.078	550
57.104	406	57.129	548
57.155	394	57.180	544
57.205	384	57.231	535
57.256	375	57.281	524
57.307	367	57.332	510
57.358	361	57.382	495
57.408	359	57.434	480
57.459	358	57.484	464
57.509	360	57.535	448
57.561	363	57.585	436
57.611	370	57.636	425
57.662	377	57.687	417
57.712	386	57.738	412
57.763	397	57.788	411
57.813	407	57.839	414
57.865	417	57.889	420
57.915	426	57.940	429
57.966	435	57.991	441
58.016	440	58.042	456
58.067	445	58.092	470
58.118	447	58.143	487
58.169	447	58.193	502
58.219	445	58.245	518
58.270	440	58.295	530
58.320	434	58.346	541
58.372	428	58.396	548
58.422	420	58.447	552
58.473	410	58.498	552
58.523	402	58.549	549
58.574	392	58.600	541
58.624	385	58.650	530
58.676	379	58.701	518
58.726	373	58.751	503
58.777	369	58.803	487
58.827	368	58.853	470
58.878	369	58.904	454
58.929	371	58.954	440
58.980	375	59.005	428
59.030	380	59.056	418
59.081	387	59.107	412
59.131	394	59.157	409
59.183	403	59.208	410
59.233	411	59.258	415
59.284	417	59.310	423
59.334	424	59.360	435
59.385	429	59.411	448
59.436	434	59.461	464
59.487	436	59.512	479
59.537	437	59.562	497
59.588	436	59.614	512
59.638	434	59.664	527
59.689	429	59.715	538
59.740	424	59.765	546
59.791	419	59.816	552
59.841	412	59.867	553
59.892	406	59.918	551
59.942	399	59.968	545
59.994	394	60.019	536
60.044	388	60.069	524
60.095	384	60.121	510
60.145	380	60.171	495
60.196	380	60.222	477
60.247	379	60.272	461
60.298	380	60.323	446
60.348	381	60.373	432
60.399	385	60.425	421
60.449	390	60.475	413
60.500	395	60.526	408
60.551	400	60.576	409
60.602	406	60.627	412
60.652	411	60.678	419
60.703	416	60.729	428
60.753	420	60.779	442
60.805	423	60.830	457
60.855	425	60.880	473
60.906	426	60.932	489
60.956	426	60.982	506
61.007	425	61.033	521
61.058	423	61.083	534
61.109	420	61.134	544
61.159	417	61.184	551
61.210	412	61.236	555
61.260	408	61.286	553
61.311	404	61.337	549
61.362	399	61.387	541
61.413	397	61.438	530
61.463	394	61.489	516
61.514	391	61.540	501
61.564	390	61.590	484
61.616	390	61.641	467
61.666	390	61.691	451
61.717	390	61.743	438
61.767	392	61.793	425
61.818	395	61.844	416
61.869	397	61.894	410
61.920	401	61.945	408
61.970	404	61.996	410
62.021	406	62.047	415
62.071	408	62.097	424
62.122	412	62.148	436
62.173	414	62.198	450
62.224	415	62.249	467
62.275	415	62.300	483
62.325	416	62.351	499
62.376	416	62.401	515
62.427	415	62.452	528
62.478	414	62.502	540
62.528	412	62.554	549
62.579	410	62.604	552
62.629	409	62.655	554
62.681	407	62.705	550
62.731	405	62.756	545
62.782	402	62.807	534
62.832	402	62.858	522
62.883	401	62.908	507
62.933	400	62.959	491
62.985	400	63.009	474
63.035	400	63.060	458
63.086	400	63.111	443
63.136	400	63.162	430
63.187	401	63.212	420
63.238	402	63.263	413
63.289	403	63.313	410
63.339	403	63.365	408
63.390	405	63.415	414
63.440	405	63.466	421
63.492	405	63.516	432
63.542	405	63.567	446
63.593	407	63.618	460
63.643	406	63.669	476
63.694	407	63.719	492
63.744	405	63.770	509
63.796	406	63.820	522
63.846	406	63.871	535
63.897	406	63.922	543
63.947	406	63.973	550
63.998	406	64.023	553
64.049	406	64.074	551
64.100	407	64.124	546
64.150	407	64.176	537
64.201	406	64.226	527
64.251	407	64.277	513
64.303	407	64.327	497
64.353	407	64.378	480
64.404	407	64.429	465
64.454	407	64.480	450
64.505	406	64.530	436
64.556	406	64.581	425
64.607	405	64.631	417
64.657	405	64.682	411
64.708	404	64.733	411
64.758	402	64.784	413
64.809	403	64.834	419
64.860	402	64.885	428
64.911	402	64.935	440
64.961	401	64.987	455
65.012	401	65.037	470
65.062	401	65.088	486
65.114	402	65.138	502
65.164	402	65.189	517
65.215	402	65.240	529
65.265	404	65.291	539
65.316	404	65.342	546
65.367	405	65.392	550
65.418	406	65.443	550
65.468	409	65.493	546
65.519	410	65.545	540
65.569	410	65.595	530
65.620	411	65.646	517
65.671	412	65.696	503
65.722	412	65.747	488
65.772	412	65.798	471
65.823	412	65.849	456
65.873	410	65.899	443
65.925	410	65.950	432
65.975	408	66.000	421
66.026	406	66.052	416
66.076	404	66.102	413
66.127	403	66.153	414
66.178	401	66.203	418
66.229	400	66.254	425
66.279	399	66.304	436
66.330	397	66.356	449
66.380	397	66.406	464
66.431	396	66.457	480
66.482	397	66.507	495
66.533	398	66.558	509
66.583	400	66.609	522
66.634	401	66.660	533
66.684	403	66.710	541
66.736	405	66.761	546
66.786	407	66.811	548
66.837	410	66.863	547
66.887	411	66.913	541
66.938	412	66.964	533
66.989	414	67.014	521
67.040	415	67.065	509
67.090	415	67.116	494
67.141	416	67.167	479
67.191	415	67.217	463
67.242	414	67.268	450
67.293	413	67.318	437
67.344	411	67.369	427
67.394	409	67.420	421
67.445	406	67.471	416
67.495	403	67.521	416
67.547	401	67.572	418
67.597	399	67.622	425
67.648	397	67.674	434
67.698	395	67.724	446
67.749	393	67.775	459
67.800	393	67.825	474
67.851	394	67.876	488
67.901	394	67.927	503
67.952	395	67.978	516
68.002	397	68.028	527
68.053	400	68.079	536
68.104	402	68.129	542
68.155	406	68.180	546
68.205	408	68.231	545
68.256	411	68.282	541
68.306	414	68.332	535
68.358	417	68.383	525
68.408	418	68.433	512
68.459	420	68.485	499
68.509	419	68.535	484
68.560	419	68.586	471
68.611	418	68.636	455
68.662	416	68.687	444
68.712	414	68.738	433
68.763	411	68.789	424
68.813	407	68.839	421
68.864	405	68.890	417
68.915	402	68.940	420
68.966	398	68.991	424
69.016	395	69.042	433
69.067	392	69.093	442
69.117	391	69.143	454
69.169	390	69.194	468
69.219	391	69.244	482
69.270	390	69.296	496
69.320	391	69.346	510
69.371	393	69.397	522
69.422	397	69.447	530
69.473	401	69.498	537
69.523	404	69.549	541
69.574	407	69.600	543
69.624	411	69.650	540
69.676	415	69.701	535
69.726	418	69.751	526
69.777	420	69.802	517
69.827	422	69.853	504
69.878	423	69.904	490
69.928	423	69.954	477
69.980	422	70.005	463
70.030	419	70.055	450
70.081	418	70.107	439
70.131	414	70.157	431
70.182	410	70.208	425
70.233	406	70.258	422
70.284	403	70.309	421
70.334	399	70.360	424
70.385	394	70.411	431
70.435	391	70.461	440
70.487	389	70.512	450
70.537	388	70.562	463
70.588	387	70.613	476
70.638	387	70.664	489
70.689	388	70.715	503
70.739	390	70.765	514
70.791	393	70.816	525
70.841	397	70.866	532
70.892	401	70.918	538
70.942	406	70.968	539
70.993	409	71.019	538
71.044	413	71.069	534
71.095	418	71.120	527
71.145	421	71.171	518
71.196	424	71.222	509
71.246	424	71.272	496
71.298	426	71.323	482
71.348	424	71.373	469
71.399	424	71.424	457
71.449	421	71.475	446
71.500	417	71.526	437
71.550	413	71.576	431
71.602	408	71.627	425
71.652	405	71.677	425
71.703	400	71.729	427
71.753	395	71.779	431
71.804	391	71.830	438
71.855	387	71.880	448
71.906	385	71.931	460
71.956	385	71.982	471
72.007	384	72.033	484
72.057	385	72.083	497
72.109	387	72.134	508
72.159	390	72.184	518
72.210	395	72.236	526
72.260	398	72.286	532
72.311	403	72.337	536
72.361	408	72.387	536
72.413	414	72.438	533
72.463	418	72.488	528
72.514	421	72.540	521
72.564	425	72.590	511
72.615	427	72.641	499
72.666	428	72.691	487
72.717	428	72.742	475
72.767	426	72.793	463
72.818	424	72.844	452
72.868	420	72.894	443
72.920	416	72.945	435
72.970	412	72.995	430
73.021	405	73.047	428
73.071	401	73.097	429
73.122	396	73.148	432
73.172	392	73.198	438
73.224	388	73.249	446
73.274	385	73.299	456
73.325	382	73.351	467
73.375	382	73.401	479
73.426	383	73.452	491
73.477	384	73.502	501
73.528	388	73.553	513
73.578	390	73.604	521
73.629	396	73.655	527
73.679	401	73.705	530
73.731	406	73.756	533
73.781	411	73.806	531
73.832	417	73.858	527
73.882	421	73.908	521
73.933	425	73.959	513
73.983	429	74.009	503
74.035	430	74.060	491
74.085	430	74.110	481
74.136	429	74.162	468
74.186	428	74.212	458
74.237	424	74.263	449
74.289	419	74.313	442
74.339	414	74.364	436
74.390	409	74.415	432
74.440	403	74.466	432
74.491	397	74.516	434
74.542	392	74.567	439
74.593	387	74.617	446
74.643	384	74.669	454
74.694	381	74.719	463
74.744	380	74.770	475
74.796	379	74.820	485
74.846	382	74.871	496
74.897	384	74.921	505
74.947	389	74.973	514
74.998	392	75.023	522
75.048	398	75.074	526
75.100	404	75.124	528
75.150	410	75.175	529
75.201	415	75.226	526
75.251	420	75.277	520
75.302	424	75.327	514
75.353	429	75.378	505
75.404	431	75.428	496
75.454	432	75.480	484
75.505	432	75.530	475
75.555	430	75.581	464
75.607	426	75.631	455
75.657	423	75.682	447
75.708	417	75.732	441
75.758	412	75.784	438
75.809	406	75.834	436
75.859	399	75.885	437
75.911	394	75.935	439
75.961	390	75.986	446
76.012	384	76.037	453
76.062	381	76.088	461
76.113	378	76.138	470
76.164	379	76.189	481
76.215	380	76.239	490
76.265	381	76.291	501
76.316	385	76.341	508
76.366	389	76.392	516
76.418	395	76.442	522
76.468	402	76.493	525
76.519	407	76.543	525
76.569	414	76.595	523
76.620	420	76.645	519
76.670	425	76.696	514
76.722	428	76.746	507
76.772	432	76.797	498
76.823	433	76.848	489
76.873	433	76.899	478
76.924	431	76.949	469
76.975	429	77.000	461
77.026	425	77.050	453
77.076	421	77.102	446
77.127	415	77.152	442
77.177	409	77.203	440
77.229	402	77.253	440
77.279	395	77.304	443
77.330	389	77.354	445
77.380	386	77.406	453
77.431	382	77.457	460
77.481	379	77.507	469
77.533	377	77.558	477
77.583	378	77.608	486
77.634	380	77.660	495
77.684	383	77.710	504
77.735	386	77.761	511
77.786	392	77.811	516
77.837	398	77.862	519
77.887	405	77.913	520
77.938	411	77.964	521
77.988	417	78.014	517
78.040	422	78.065	514
78.090	428	78.115	507
78.141	431	78.167	500
78.191	433	78.217	492
78.242	434	78.268	483
78.292	434	78.318	474
78.344	431	78.369	465
78.394	429	78.419	458
78.445	424	78.471	452
78.495	417	78.521	448
78.546	411	78.572	445
78.597	405	78.622	443
78.648	398	78.673	444
78.698	393	78.724	448
78.749	387	78.775	453
78.799	382	78.825	459
78.851	378	78.876	465
78.901	377	78.926	473
78.952	377	78.978	482
79.002	378	79.028	490
79.053	380	79.079	499
79.103	385	79.129	505
79.155	390	79.180	510
79.205	395	79.230	515
79.256	403	79.282	517
79.306	408	79.332	517
79.357	414	79.383	516
79.408	420	79.433	512
79.459	427	79.484	507
79.509	431	79.535	501
79.560	433	79.586	494
79.610	434	79.636	485
79.662	434	79.687	478
79.712	433	79.737	471
79.763	429	79.789	464
79.813	425	79.839	458
79.864	420	79.890	452
79.914	415	79.940	449
79.966	408	79.991	447
80.016	401	80.041	448
80.067	394	80.093	450
80.117	389	80.143	453
80.168	384	80.194	458
80.219	380	80.244	464
80.270	377	80.295	472
80.320	376	80.346	479
80.371	377	80.397	486
80.421	379	80.447	493
80.473	383	80.498	500
80.523	387	80.548	505
80.574	393	80.600	510
80.624	399	80.650	512
80.675	407	80.701	513
80.725	413	80.751	512
80.777	418	80.802	509
80.827	424	80.852	506
80.878	429	80.904	501
80.928	432	80.954	496
80.979	434	81.005	488
81.030	435	81.055	482
81.081	434	81.106	474
81.132	432	81.157	468
81.182	428	81.208	461
81.233	423	81.258	458
81.284	416	81.309	454
81.335	411	81.359	452
81.385	404	81.411	452
81.436	397	81.461	453
81.486	391	81.512	455
81.538	385	81.562	459
81.588	381	81.613	464
81.639	379	81.663	470
81.689	377	81.715	477
81.740	376	81.765	483
81.790	378	81.816	490
81.842	381	81.866	495
81.892	386	81.917	501
81.943	390	81.968	505
81.993	397	82.019	508
82.044	403	82.069	509
82.095	410	82.120	508
82.146	416	82.170	508
82.196	423	82.222	505
82.247	428	82.272	501
82.297	431	82.323	496
82.349	434	82.373	490
82.399	435	82.424	483
82.450	434	82.474	479
82.500	433	82.526	472
82.551	429	82.576	467
82.601	425	82.627	462
82.653	420	82.677	459
82.703	413	82.728	457
82.754	406	82.779	454
82.804	399	82.830	457
82.855	394	82.880	457
82.906	389	82.931	461
82.957	383	82.981	464
83.007	380	83.033	470
83.058	377	83.083	475
83.108	377	83.134	480
83.160	378	83.184	485
83.210	380	83.235	491
83.261	383	83.285	496
83.311	388	83.337	499
83.362	394	83.387	503
83.412	400	83.438	504
83.464	407	83.488	506
83.514	413	83.539	504
83.565	420	83.590	502
83.615	424	83.641	499
83.666	429	83.691	496
83.717	432	83.742	490
83.768	434	83.792	486
83.818	434	83.844	481
83.869	433	83.894	475
83.919	430	83.945	471
83.971	426	83.995	467
84.021	421	84.046	463
84.072	416	84.096	461
84.122	408	84.148	460
84.173	402	84.199	460
84.223	397	84.249	461
84.275	390	84.300	462
84.325	386	84.350	465
84.376	382	84.402	469
84.426	379	84.452	474
84.477	377	84.503	479
84.528	379	84.553	483
84.579	380	84.604	488
84.629	383	84.655	492
84.680	387	84.706	496
84.730	392	84.756	499
84.782	398	84.807	500
84.832	405	84.857	502
84.883	411	84.909	501
84.933	416	84.959	499
84.984	422	85.010	498
85.034	427	85.060	495
85.086	431	85.111	490
85.136	433	85.161	487
85.187	434	85.213	483
85.237	432	85.263	479
85.288	431	85.314	473
85.339	427	85.364	471
85.390	422	85.415	467
85.440	417	85.466	465
85.491	411	85.517	464
85.541	405	85.567	463
85.593	399	85.618	463
85.643	393	85.668	465
85.694	387	85.720	467
85.744	384	85.770	470
85.795	381	85.821	473
85.845	379	85.871	477
85.897	379	85.922	482
85.947	381	85.972	485
85.998	382	86.024	489
86.048	386	86.074	492
86.099	392	86.125	495
86.150	397	86.175	496
86.201	402	86.226	498
86.251	408	86.277	499
86.302	414	86.328	498
86.352	420	86.378	495
86.404	425	86.429	494
86.454	427	86.479	491
86.505	430	86.531	488
86.555	432	86.581	484
86.606	432	86.632	480
86.656	430	86.682	477
86.708	426	86.733	473
86.758	424	86.783	472
86.809	418	86.835	469
86.859	413	86.885	468
86.910	407	86.936	466
86.961	401	86.986	467
87.012	396	87.037	468
87.062	391	87.088	470
87.113	386	87.139	471
87.163	384	87.189	473
87.215	382	87.240	477
87.265	380	87.290	480
87.316	381	87.342	483
87.366	383	87.392	486
87.417	386	87.443	489
87.468	390	87.493	491
87.519	395	87.544	494
87.569	400	87.594	494
87.620	407	87.646	494
87.670	413	87.696	494
87.721	417	87.747	494
87.772	422	87.797	492
87.823	425	87.848	490
87.873	429	87.899	488
87.924	431	87.950	484
87.974	430	88.000	481
88.026	429	88.051	479
88.076	427	88.101	477
88.127	424	88.153	473
88.177	420	88.203	473
88.228	414	88.254	471
88.279	409	88.304	470
88.330	403	88.355	470
88.380	398	88.405	469
88.431	393	88.457	471
88.481	389	88.507	473
88.532	385	88.558	474
88.583	384	88.608	476
88.634	382	88.659	479
88.685	383	88.710	482
88.735	384	88.761	484
88.786	386	88.811	486
88.837	390	88.862	488
88.888	394	88.912	489
88.938	399	88.964	491
88.989	403	89.014	492
89.039	409	89.065	491
89.091	415	89.115	490
89.141	420	89.166	489
89.192	422	89.216	489
89.242	426	89.268	486
89.293	428	89.318	484
89.343	429	89.369	482
89.395	428	89.419	480
89.445	426	89.470	479
89.496	424	89.521	477
89.546	419	89.572	475
89.597	416	89.622	474
89.648	411	89.673	473
89.699	406	89.723	473
89.749	400	89.775	474
