#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 10:03:51 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.206	600	13.231	468
13.256	598	13.281	468
13.307	590	13.333	468
13.357	576	13.383	469
13.408	555	13.434	468
13.459	532	13.484	468
13.510	504	13.535	468
13.560	476	13.586	468
13.611	447	13.637	469
13.661	419	13.687	468
13.713	395	13.738	467
13.763	375	13.788	467
13.814	359	13.840	468
13.864	348	13.890	467
13.915	344	13.941	467
13.965	347	13.991	468
14.017	355	14.042	467
14.067	370	14.092	467
14.118	390	14.144	467
14.168	413	14.194	466
14.219	440	14.245	467
14.270	468	14.295	467
14.321	497	14.346	468
14.371	523	14.397	467
14.422	547	14.448	468
14.472	567	14.498	468
14.524	583	14.549	468
14.574	593	14.599	468
14.625	597	14.651	468
14.675	594	14.701	469
14.726	585	14.752	468
14.776	571	14.802	468
14.828	550	14.853	469
14.878	527	14.903	468
14.929	500	14.955	468
14.979	473	15.005	467
15.030	445	15.056	467
15.081	418	15.106	468
15.132	395	15.157	467
15.182	375	15.208	466
15.233	360	15.259	467
15.283	351	15.309	466
15.335	349	15.360	467
15.385	351	15.410	467
15.436	360	15.462	467
15.486	375	15.512	467
15.537	395	15.563	468
15.587	418	15.613	468
15.639	444	15.664	468
15.689	471	15.714	469
15.740	499	15.766	468
15.790	525	15.816	468
15.841	547	15.867	468
15.893	567	15.917	468
15.943	582	15.968	469
15.994	590	16.019	468
16.044	592	16.070	469
16.095	590	16.120	468
16.146	580	16.171	468
16.197	566	16.221	468
16.247	545	16.273	468
16.298	522	16.323	468
16.348	497	16.374	468
16.400	470	16.424	468
16.450	442	16.475	468
16.501	417	16.525	467
16.551	395	16.577	467
16.602	376	16.627	467
16.652	362	16.678	467
16.704	354	16.728	466
16.754	352	16.779	467
16.805	355	16.830	468
16.855	365	16.881	468
16.906	380	16.931	468
16.957	400	16.982	467
17.008	423	17.032	468
17.058	448	17.084	468
17.109	475	17.134	468
17.159	501	17.185	468
17.211	527	17.235	468
17.261	548	17.286	468
17.312	567	17.336	468
17.362	580	17.388	467
17.413	588	17.438	469
17.463	589	17.489	468
17.515	585	17.539	467
17.565	575	17.590	467
17.616	560	17.641	468
17.666	540	17.692	468
17.717	518	17.742	467
17.768	492	17.793	467
17.819	466	17.843	467
17.869	440	17.895	467
17.920	416	17.945	468
17.970	394	17.996	468
18.022	377	18.046	468
