#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 10:03:51 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.205	475	13.230	453
13.256	423	13.281	504
13.306	372	13.331	555
13.357	323	13.383	602
13.407	278	13.433	640
13.458	239	13.484	671
13.509	208	13.534	690
13.560	189	13.585	696
13.610	182	13.636	694
13.661	185	13.687	681
13.711	198	13.737	654
13.763	226	13.788	618
13.813	261	13.838	576
13.864	302	13.890	526
13.914	349	13.940	475
13.965	399	13.991	425
14.016	450	14.041	377
14.067	497	14.092	336
14.117	539	14.143	302
14.168	574	14.194	275
14.218	600	14.244	262
14.269	611	14.295	261
14.320	613	14.345	269
14.371	604	14.396	289
14.422	585	14.447	318
14.472	556	14.498	356
14.523	516	14.548	401
14.574	472	14.599	449
14.625	424	14.649	500
14.675	375	14.701	552
14.726	327	14.751	597
14.776	283	14.802	637
14.828	245	14.852	667
14.878	216	14.903	688
14.929	198	14.954	697
14.979	190	15.005	694
15.030	192	15.055	681
15.080	206	15.106	655
15.132	232	15.156	621
15.182	264	15.207	577
15.233	304	15.258	530
15.283	350	15.309	478
15.334	398	15.359	429
15.385	447	15.410	381
15.436	494	15.460	339
15.486	533	15.512	304
15.537	567	15.562	279
15.587	591	15.613	263
15.639	603	15.663	262
15.689	605	15.714	270
15.740	597	15.765	289
15.790	578	15.816	317
15.841	551	15.866	354
15.891	513	15.917	399
15.943	470	15.967	446
15.993	424	16.018	497
16.044	377	16.069	547
16.094	331	16.120	593
16.145	288	16.170	633
16.196	251	16.221	664
16.247	224	16.271	685
16.297	205	16.323	695
16.348	197	16.373	692
16.398	199	16.424	680
16.450	213	16.474	655
16.500	238	16.525	622
16.551	269	16.576	581
16.601	308	16.627	533
16.652	352	16.677	483
16.703	399	16.728	433
16.754	446	16.778	386
16.804	489	16.829	343
16.855	528	16.880	308
16.905	560	16.931	281
16.956	584	16.981	266
17.007	595	17.032	263
17.058	598	17.082	270
17.108	591	17.134	287
17.159	572	17.184	316
17.209	544	17.235	352
17.261	510	17.285	395
17.311	468	17.336	442
17.362	424	17.387	493
17.412	377	17.438	543
17.463	333	17.489	589
17.514	292	17.539	628
17.565	258	17.590	661
17.615	230	17.640	683
17.666	212	17.692	692
17.716	204	17.742	690
17.767	206	17.793	680
17.818	220	17.843	657
17.869	243	17.894	623
17.919	274	17.945	582
17.970	310	17.996	536
18.020	354	18.046	486
18.072	399	18.097	437
18.122	445	18.147	391
18.173	487	18.199	348
18.223	524	18.249	312
18.274	555	18.300	285
18.325	578	18.350	268
18.376	589	18.401	266
18.426	592	18.451	271
18.477	584	18.503	288
18.527	565	18.553	315
18.578	539	18.604	350
18.629	504	18.654	392
18.680	466	18.705	439
18.730	422	18.756	487
18.781	377	18.807	537
18.831	335	18.857	584
18.883	294	18.908	624
18.933	262	18.958	656
18.984	236	19.010	678
19.034	219	19.060	690
19.085	211	19.111	690
19.136	213	19.161	679
19.187	226	19.212	657
19.237	249	19.263	625
19.288	278	19.314	586
19.338	315	19.364	540
19.389	356	19.415	491
19.440	400	19.465	442
19.491	444	19.516	395
19.541	485	19.567	353
19.592	520	19.618	317
19.642	551	19.668	289
19.694	573	19.719	272
19.744	584	19.769	267
19.795	585	19.821	273
19.845	578	19.871	289
19.896	560	19.922	314
19.947	534	19.972	348
19.998	501	20.023	389
20.048	463	20.074	435
20.099	419	20.125	484
20.149	377	20.175	532
20.200	335	20.226	578
20.251	297	20.276	619
20.302	264	20.327	650
20.352	240	20.378	674
20.403	223	20.429	686
20.453	216	20.479	686
20.505	220	20.530	677
20.555	233	20.580	657
20.606	253	20.632	627
20.656	283	20.682	589
20.707	319	20.733	544
20.758	359	20.783	496
20.809	401	20.834	448
20.859	444	20.885	401
20.910	484	20.936	359
20.960	518	20.986	322
21.011	547	21.037	295
21.062	568	21.087	277
21.113	578	21.138	271
21.163	581	21.189	276
21.214	573	21.240	289
21.264	555	21.290	314
21.316	530	21.341	345
21.366	497	21.391	386
21.417	460	21.443	430
21.467	418	21.493	479
21.518	377	21.544	526
21.569	336	21.594	573
