#Creator: pendulumEventBuffer
#Creation time: Mon Mar 21 09:33:57 2022
#Time	Period	Transit time
#[s]	[s]	[s]
225.164643	2.130026	0.036314
226.229661	2.130013	0.036390
227.294656	2.129994	0.036468
228.359655	2.129983	0.036542
229.424639	2.129967	0.036622
230.489622	2.129952	0.036712
231.554591	2.129924	0.036770
232.619546	2.129923	0.036852
233.684514	2.129924	0.036948
234.749470	2.129869	0.037028
235.814383	2.129851	0.037110
236.879321	2.129864	0.037194
237.944247	2.129850	0.037274
239.009171	2.129836	0.037354
240.074083	2.129827	0.037430
241.138998	2.129821	0.037512
242.203904	2.129800	0.037588
243.268798	2.129764	0.037664
244.333668	2.129768	0.037756
245.398566	2.129766	0.037852
246.463434	2.129725	0.037936
247.528291	2.129661	0.037998
248.593095	2.129699	0.038074
249.657990	2.129758	0.038168
250.722853	2.129713	0.038242
251.787703	2.129658	0.038326
252.852511	2.129609	0.038410
253.917312	2.129663	0.038500
254.982174	2.129688	0.038596
256.047000	2.129639	0.038664
257.111813	2.129635	0.038742
258.176635	2.129617	0.038822
259.241430	2.129590	0.038900
260.306225	2.129582	0.039002
261.371012	2.129571	0.039084
262.435796	2.129558	0.039144
263.500570	2.129518	0.039240
264.565314	2.129496	0.039340
265.630066	2.129543	0.039428
266.694857	2.129530	0.039522
267.759596	2.129479	0.039604
268.824336	2.129493	0.039672
269.889089	2.129476	0.039738
270.953812	2.129442	0.039836
272.018531	2.129447	0.039934
273.083259	2.129439	0.040018
274.147970	2.129437	0.040120
275.212696	2.129417	0.040200
276.277387	2.129390	0.040270
277.342086	2.129396	0.040352
278.406783	2.129392	0.040434
279.471478	2.129378	0.040536
280.536161	2.129360	0.040626
281.600838	2.129342	0.040692
282.665503	2.129331	0.040766
283.730169	2.129322	0.040862
284.794825	2.129315	0.040962
285.859484	2.129298	0.041052
286.924123	2.129273	0.041150
287.988757	2.129263	0.041234
289.053386	2.129266	0.041316
290.118023	2.129263	0.041422
291.182649	2.129240	0.041518
292.247263	2.129223	0.041590
293.311872	2.129202	0.041676
294.376465	2.129186	0.041766
295.441058	2.129168	0.041856
296.505633	2.129143	0.041930
297.570201	2.129169	0.042006
298.634802	2.129166	0.042120
299.699367	2.129120	0.042234
300.763922	2.129121	0.042348
301.828488	2.129123	0.042420
302.893045	2.129111	0.042486
303.957599	2.129107	0.042614
305.022152	2.129081	0.042700
306.086680	2.129054	0.042772
307.151206	2.129001	0.042868
308.215681	2.129054	0.042962
309.280260	2.129110	0.043044
310.344791	2.129017	0.043122
311.409277	2.128995	0.043226
312.473786	2.129025	0.043332
313.538302	2.129010	0.043424
314.602796	2.128955	0.043504
315.667257	2.128941	0.043586
316.731737	2.128967	0.043738
317.796224	2.128916	0.043848
318.860653	2.128902	0.043898
319.925126	2.128912	0.044000
320.989565	2.128885	0.044098
322.054011	2.128892	0.044186
323.118457	2.128868	0.044278
324.182879	2.128851	0.044370
325.247308	2.128856	0.044492
326.311735	2.128794	0.044598
327.376102	2.128796	0.044668
328.440531	2.128853	0.044766
329.504955	2.128854	0.044866
330.569385	2.128834	0.044970
331.633789	2.128776	0.045066
332.698161	2.128768	0.045170
333.762557	2.128851	0.045246
334.827012	2.128834	0.045356
335.891391	2.128726	0.045482
336.955738	2.128706	0.045556
338.020097	2.128727	0.045654
339.084465	2.128723	0.045762
340.148820	2.128706	0.045856
341.213171	2.128697	0.045942
342.277517	2.128693	0.046034
343.341864	2.128682	0.046136
344.406199	2.128693	0.046226
345.470557	2.128688	0.046318
346.534887	2.128652	0.046430
347.599209	2.128642	0.046538
348.663529	2.128651	0.046634
349.727860	2.128646	0.046672
350.792175	2.128651	0.046766
351.856511	2.128640	0.046926
352.920815	2.128613	0.047038
353.985124	2.128593	0.047140
355.049408	2.128575	0.047240
356.113699	2.128594	0.047346
357.178002	2.128600	0.047444
358.242299	2.128563	0.047550
359.306565	2.128551	0.047662
360.370850	2.128573	0.047764
361.435138	2.128574	0.047852
362.499424	2.128558	0.047916
363.563696	2.128527	0.048024
364.627951	2.128486	0.048146
365.692182	2.128507	0.048260
366.756458	2.128520	0.048368
367.820702	2.128523	0.048460
368.884981	2.128544	0.048574
369.949246	2.128465	0.048648
371.013446	2.128446	0.048728
372.077692	2.128513	0.048872
373.141959	2.128494	0.049002
374.206186	2.128442	0.049104
375.270401	2.128417	0.049210
376.334603	2.128432	0.049310
377.398833	2.128444	0.049394
378.463047	2.128416	0.049526
379.527249	2.128400	0.049646
380.591447	2.128421	0.049726
381.655670	2.128408	0.049832
382.719855	2.128344	0.049934
383.784014	2.128418	0.050016
384.848273	2.128487	0.050122
385.912501	2.128339	0.050258
386.976612	2.128310	0.050392
388.040811	2.128379	0.050494
389.104991	2.128350	0.050582
390.169161	2.128352	0.050682
391.233343	2.128301	0.050822
