422.7224008574491, 378.9924973204716
424.4372990353698, 346.40943193997856
433.86923901393357, 310.39657020364416
451.87566988210074, 271.81136120042873
476.7416934619507, 240.08574490889603
504.18006430868166, 213.5048231511254
541.9078242229367, 190.35369774919613
587.3526259378349, 179.20685959271168
622.508038585209, 178.34941050375133
670.5251875669882, 185.20900321543408
709.1103965702036, 199.7856377277599
745.123258306538, 219.5069667738478
768.2743837084673, 240.94319399785638
788.8531618435155, 268.38156484458733
804.2872454448017, 302.6795284030011
812.0042872454447, 329.2604501607717
816.2915326902465, 353.2690246516613
817.1489817792069, 379.84994640943194
812.8617363344051, 413.2904608788853
803.4297963558414, 451.87566988210074
783.7084673097535, 483.6012861736334
757.9849946409432, 516.1843515541265
727.9742765273312, 541.9078242229367
694.5337620578778, 558.1993569131832
653.3762057877814, 572.7759914255091
613.9335476956056, 577.0632368703108
586.4951768488746, 573.6334405144695
555.6270096463022, 563.3440514469453
525.6162915326903, 547.9099678456591
498.1779206859593, 529.0460878885316
475.88424437299034, 506.7524115755627
454.44801714898176, 481.0289389067524
437.2990353697749, 450.16077170418004
426.15219721329044, 414.14790996784564
