lens_dist,image_dist
30.7,45.2
50.0, 61.2
45.5,57.9
40.0,53.0
35.5,49.9
55.0,65.5
60.0,71.7
65.0,75.4
38.0,50.8
47.0,59.0
52.0,63.8
58.0,69.8
43.0,54.9
